# mvp-tdem synthetic raw EM log v0
seq,t_rx,polarity,g00,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19
0,500,1,688595.44035678729,249683.80388346128,98250.558109974227,37185.421641112793,12663.748010215004,4808.6666038307467,1885.1479962035557,701.04398358999231,264.71534386202035,96.616551209964456,38.148996112376118,14.204092364549126,5.1950042104677641,1.9830196111492013,0.76735002056225865,0.31419917408777442,0.099008743033132007,0.0020545819824849551,-0.019840246510059931,0.032702975413305281
1,500.01999999999998,-1,-693476.73700712831,-252579.29502312923,-96756.544639675965,-36291.608200212053,-13539.358830126963,-5134.9823574566581,-1890.5017312366488,-722.1944455615228,-265.36050170523129,-99.941815852247942,-37.735510735098302,-13.250793760746868,-5.1771455834286151,-1.9296488513011965,-0.7462077488645078,-0.25365981229068385,-0.11391762322644458,-0.063701860693386417,-0.0018266822498487708,-0.024301156228799255
2,500.04000000000002,1,674926.2967935662,254773.4878623767,92640.141313348373,36693.328919352374,13261.624804981453,5006.0373266091656,1905.0446108469671,717.15221729270547,270.13643586604445,98.852640725648271,36.585015115663069,13.802953567016361,4.9456928922212509,1.8442644034790352,0.71198579079290925,0.26658314626894952,0.1711398883800638,0.027341042838760682,-0.028738775140572013,0.013132939308706598
3,500.06,-1,-710182.22155610507,-264181.91619361908,-97116.082634875929,-37752.598809085946,-12971.379314543969,-4908.1800173869451,-1825.7313694660722,-699.46094570757748,-253.85067215314143,-100.9542772713594,-36.813241489456672,-13.281460516050902,-5.1218129962190098,-1.9750261430732954,-0.79087989661760305,-0.26930047360686082,-0.06188085112050485,0.001608472804248266,0.01647977889873643,-0.09441531688199678
4,500.07999999999998,1,699523.45960944658,250744.0475538054,98772.801286324378,36582.631571325779,13387.830192642998,4998.1303075065753,1841.1099380280007,717.20811738751058,261.20107351043993,95.551975544471389,35.612791271682084,13.931302458040737,5.4798501229755416,1.9440031302732776,0.72841588026686233,0.26934512728757803,0.12085276174408688,0.097781321105665037,0.018022320460805503,0.032610821251839187
5,500.10000000000002,-1,-681361.94363097672,-251205.7661794048,-92574.163449403452,-35212.258244951496,-13316.260438317315,-5141.6216530107131,-1803.1768434527683,-708.40845479182155,-261.03602893315036,-98.130564551308666,-38.168929965016098,-14.031110648057561,-5.4082634863996777,-1.8975562503167989,-0.69373815318242438,-0.23520459507142449,-0.099446623787966509,0.03516089524156174,0.047666400607002793,-0.094807804904560519
6,500.12,1,659907.49417633575,271928.02725262986,104461.73071052985,34893.969889397151,13302.477546663109,5055.4745873903375,1975.3156351835726,686.87973410045151,262.94956435056133,101.46380220632494,37.532525181829243,13.693400006837853,5.2353216508877001,1.8817577669835373,0.74616840746513591,0.19842341284144163,0.14231150292615696,0.056873368309931192,-0.032021779042335947,-0.014237601878394427
7,500.13999999999999,-1,-683433.95611004392,-255466.57588239596,-95789.307308599047,-35891.745904223069,-13512.697229210664,-5225.1692479820349,-1733.3477861512251,-702.75134810377017,-266.22228651888287,-100.01889148845702,-36.637923907055992,-13.20609076510368,-5.2079713684981002,-2.0851681949555321,-0.68958154500165869,-0.33013190044249324,-0.1331714172611414,-0.11480471097956516,-0.044623785731741909,0.06066139757408081
8,500.16000000000003,1,658368.18002140417,253718.51046456068,100443.92141045383,36856.826223546101,13169.054988349772,4852.0388241479677,1879.8220564090868,681.92511783551902,259.51012298568958,100.07512517338982,38.329904868982581,14.144543919266768,4.8419447558978419,1.9851225959773806,0.77479320883403602,0.23281679298709571,0.10238651526832251,0.098255374631277412,-0.017078679417819344,-0.029031283238366765
9,500.18000000000001,-1,-699645.68387140089,-257814.03393651292,-99918.54367615073,-37094.674839734114,-13790.849206500907,-5087.4086043176339,-2009.0721569287127,-703.42196787756586,-248.92427850021389,-103.92931066769756,-36.542223589661035,-13.934381885082992,-5.4190153988364544,-1.891870003356019,-0.68724627243982317,-0.28258543790098556,-0.089050531443150296,-0.034006510000406429,-0.049450803728677328,0.078239361899049106
10,500.19999999999999,1,652019.20287531975,239682.92547184142,94132.493497854608,36978.154035445739,13336.211791876975,5033.8622637146254,1939.2739202464038,735.89148949792843,264.25594645831217,103.17956091601768,37.17552370699056,13.561633628774647,5.1285798825664441,1.9199944736784755,0.69736038008235035,0.20891169419877026,0.14994047920876344,0.026501075812978926,0.060596443660694013,0.021555587938567867
11,500.22000000000003,-1,-689500.83175682835,-272810.81270951853,-102074.90683299711,-36240.447607460366,-13515.767518781951,-5165.8127421078852,-1830.242117892129,-714.8189240193459,-264.73642278004343,-100.07892537146486,-36.214111678222217,-13.238097321683043,-4.9068359513730648,-1.8834201152233503,-0.71401918288603672,-0.23872410856941162,-0.12669035873958387,-0.0039576530028315069,-0.041926068391920895,-0.051018405598871164
