# mvp-tdem synthetic GPS time messages
t_rx,t_utc
500,1749999999.9999762
501,1750000001.0000074
502,1750000002.0000021
503,1750000003.0000181
504,1750000003.9999728
505,1750000004.9999993
506,1750000006.0000527
507,1750000007.0000269
508,1750000008.00001
509,1750000008.9999983
510,1750000010.0000422
511,1750000011.0000529
512,1750000012.0000012
513,1750000013.000005
514,1750000014.0000336
515,1750000015.0000374
516,1750000016.0000417
517,1750000017.000071
518,1750000018.0000167
519,1750000019.0000389
520,1750000020.0000544
521,1750000021.0000563
522,1750000022.0000312
523,1750000023.0000339
524,1750000024.0000389
525,1750000025.0000842
526,1750000026.0000324
527,1750000027.0000477
528,1750000028.0000715
529,1750000029.0000365
530,1750000030.0000653
531,1750000031.0000241
532,1750000032.0000679
533,1750000033.000067
534,1750000034.0000715
535,1750000035.0000527
536,1750000036.0000765
537,1750000037.0000734
538,1750000038.000102
539,1750000039.0000908
540,1750000040.000051
541,1750000041.0000653
542,1750000042.0000718
543,1750000043.0000896
