LINE,FID,Easting,Northing,Elevation,DEM,Latitude,Longitude,SFz[0],SFz_std[0],SFz[1],SFz_std[1],SFz[2],SFz_std[2],SFz[3],SFz_std[3],SFz[4],SFz_std[4],SFz[5],SFz_std[5],SFz[6],SFz_std[6],SFz[7],SFz_std[7],SFz[8],SFz_std[8],SFz[9],SFz_std[9],SFz[10],SFz_std[10],SFz[11],SFz_std[11],SFz[12],SFz_std[12],SFz[13],SFz_std[13],SFz[14],SFz_std[14],SFz[15],SFz_std[15],SFz[16],SFz_std[16],SFz[17],SFz_std[17],SFz[18],SFz_std[18],SFz[19],SFz_std[19]
1000,0,500000.0,4900000.9,1429.51,34.42,44.2532456,-117.0,1.612440e-05,4.350126e-07,6.116076e-06,2.149898e-07,2.304666e-06,7.467490e-08,8.706682e-07,2.541333e-08,3.167897e-07,1.028570e-08,1.184660e-07,3.392980e-09,4.428090e-08,1.783521e-09,1.676315e-08,4.611985e-10,6.291389e-09,1.723389e-10,2.366533e-09,7.187717e-11,8.802255e-10,1.984019e-11,3.280227e-10,9.580323e-12,1.235538e-10,4.380377e-12,4.605801e-11,1.573820e-12,1.728926e-11,9.901615e-13,6.445378e-12,1.007034e-12,2.700222e-12,6.506610e-13,1.089524e-12,1.068326e-12,-1.406171e-13,8.581547e-13,4.101911e-13,9.525590e-13
1000,5,500000.0,4900014.7,1429.35,34.28,44.2533699,-117.0,1.629060e-05,5.210687e-07,6.237161e-06,2.190732e-07,2.324043e-06,8.592772e-08,8.731699e-07,2.450615e-08,3.249342e-07,8.914902e-09,1.197946e-07,3.492481e-09,4.550582e-08,1.506949e-09,1.692837e-08,4.629251e-10,6.405439e-09,1.610576e-10,2.398354e-09,6.338186e-11,8.915160e-10,3.038003e-11,3.317045e-10,1.310871e-11,1.258636e-10,3.125287e-12,4.720687e-11,1.865136e-12,1.741548e-11,1.146821e-12,6.352861e-12,1.031516e-12,2.501892e-12,9.711729e-13,7.470840e-13,9.868578e-13,2.289378e-13,9.342135e-13,-1.120678e-13,8.208894e-13
1000,10,500000.0,4900029.7,1429.18,34.14,44.2535049,-117.0,1.671049e-05,6.481529e-07,6.246303e-06,1.891495e-07,2.356384e-06,6.748103e-08,8.894360e-07,2.772482e-08,3.282266e-07,9.239439e-09,1.222088e-07,4.407962e-09,4.595018e-08,1.406222e-09,1.737891e-08,6.073188e-10,6.443606e-09,1.816392e-10,2.418206e-09,5.487840e-11,9.120886e-10,3.078863e-11,3.384896e-10,1.080905e-11,1.281889e-10,3.334951e-12,4.759768e-11,1.311432e-12,1.799592e-11,1.423657e-12,6.732944e-12,1.211413e-12,2.607385e-12,9.778328e-13,1.168025e-12,9.147810e-13,3.752582e-13,1.070608e-12,3.713634e-13,1.153060e-12
1000,15,500000.0,4900044.7,1429.02,33.99,44.25364,-117.0,1.696558e-05,4.311918e-07,6.379222e-06,2.062348e-07,2.365095e-06,6.966714e-08,8.956906e-07,2.319686e-08,3.336300e-07,7.713520e-09,1.242674e-07,2.669517e-09,4.613022e-08,1.280569e-09,1.740106e-08,4.651043e-10,6.539915e-09,2.058093e-10,2.426492e-09,7.300985e-11,9.177371e-10,2.799932e-11,3.398387e-10,1.006298e-11,1.280110e-10,3.171059e-12,4.808555e-11,1.736964e-12,1.812043e-11,1.342615e-12,6.713403e-12,8.229797e-13,2.460158e-12,1.045888e-12,1.133222e-12,9.197080e-13,6.989647e-13,1.039410e-12,2.084016e-13,1.043178e-12
1000,20,500000.0,4900059.7,1428.87,33.85,44.253775,-117.0,1.702465e-05,5.814278e-07,6.454241e-06,2.099154e-07,2.409667e-06,6.160502e-08,9.072274e-07,3.283431e-08,3.345694e-07,1.156633e-08,1.251881e-07,4.198325e-09,4.730378e-08,1.539164e-09,1.793123e-08,4.886663e-10,6.650032e-09,1.938255e-10,2.498685e-09,6.640310e-11,9.274528e-10,2.514758e-11,3.488788e-10,7.522837e-12,1.294570e-10,4.023031e-12,4.849026e-11,1.564608e-12,1.837800e-11,1.249145e-12,6.800666e-12,1.298319e-12,2.723107e-12,1.076403e-12,3.727967e-13,1.052023e-12,2.544573e-13,8.962750e-13,-7.984199e-14,8.575945e-13
1000,25,500000.0,4900074.7,1428.72,33.72,44.2539101,-117.0,1.718372e-05,5.595796e-07,6.508001e-06,1.317757e-07,2.415675e-06,7.793481e-08,9.259757e-07,2.920217e-08,3.484718e-07,1.125794e-08,1.280126e-07,3.818857e-09,4.807038e-08,1.405273e-09,1.767698e-08,5.099579e-10,6.734159e-09,2.254831e-10,2.499022e-09,5.562297e-11,9.429085e-10,3.553466e-11,3.528315e-10,1.054194e-11,1.332723e-10,4.343169e-12,4.936518e-11,2.251436e-12,1.851331e-11,1.070220e-12,7.151743e-12,9.491243e-13,2.585139e-12,9.852663e-13,1.372918e-12,1.077354e-12,3.811843e-13,8.804263e-13,-5.279202e-14,1.467112e-12
1000,30,500000.0,4900089.7,1428.58,33.58,44.2540451,-117.0,1.236654e-06,3.929468e-08,6.141311e-07,2.711115e-08,3.013435e-07,8.017074e-09,1.492309e-07,3.714634e-09,7.364711e-08,2.904833e-09,3.628005e-08,1.149884e-09,1.775802e-08,6.219637e-10,8.698083e-09,1.934124e-10,4.336738e-09,1.202561e-10,2.115363e-09,6.808633e-11,1.046214e-09,3.073130e-11,5.162837e-10,1.651859e-11,2.566689e-10,8.228594e-12,1.258838e-10,3.353076e-12,6.247251e-11,2.219542e-12,3.083284e-11,1.342567e-12,1.523179e-11,9.880165e-13,7.430398e-12,9.528091e-13,3.709602e-12,9.652354e-13,1.808605e-12,1.034311e-12
1000,35,500000.0,4900104.7,1428.45,33.45,44.2541801,-117.0,1.237953e-06,3.613062e-08,6.161221e-07,1.965799e-08,3.038374e-07,7.702254e-09,1.507213e-07,4.284052e-09,7.420018e-08,2.083440e-09,3.630071e-08,8.867453e-10,1.794488e-08,6.034789e-10,8.873217e-09,2.394691e-10,4.385365e-09,1.191035e-10,2.152330e-09,5.014103e-11,1.051148e-09,4.081466e-11,5.250294e-10,1.358852e-11,2.548459e-10,5.868519e-12,1.280923e-10,4.176697e-12,6.206678e-11,2.628565e-12,3.097751e-11,1.401281e-12,1.480110e-11,1.215798e-12,7.147280e-12,9.105964e-13,3.998944e-12,9.695619e-13,1.398733e-12,1.025088e-12
1000,40,500000.0,4900119.7,1428.33,33.33,44.2543152,-117.0,1.267911e-06,4.057692e-08,6.300042e-07,2.180803e-08,3.063288e-07,7.760319e-09,1.519000e-07,4.360700e-09,7.465836e-08,2.516935e-09,3.670254e-08,1.113582e-09,1.809523e-08,5.234219e-10,8.964646e-09,2.480633e-10,4.411808e-09,1.448695e-10,2.169377e-09,6.590033e-11,1.082841e-09,4.003302e-11,5.336105e-10,1.690521e-11,2.603921e-10,9.383773e-12,1.300815e-10,3.636402e-12,6.326053e-11,2.385689e-12,3.119155e-11,1.279756e-12,1.553088e-11,1.226398e-12,7.411194e-12,8.583106e-13,3.930611e-12,1.010314e-12,1.823333e-12,9.817219e-13
1000,45,500000.0,4900134.7,1428.22,33.2,44.2544502,-117.0,1.286462e-06,5.138695e-06,6.357214e-07,2.557702e-06,3.108126e-07,1.147870e-06,1.528319e-07,5.960722e-07,7.566370e-08,2.950374e-07,3.696387e-08,1.443369e-07,1.816376e-08,6.882098e-08,8.980821e-09,3.587012e-08,4.457750e-09,1.698960e-08,2.223859e-09,8.397171e-09,1.083476e-09,3.922805e-09,5.303536e-10,2.080577e-09,2.639584e-10,9.980579e-10,1.289022e-10,5.064317e-10,6.442882e-11,2.347870e-10,3.162710e-11,1.279930e-10,1.592311e-11,6.179099e-11,7.551675e-12,3.989480e-11,3.566891e-12,1.128889e-11,1.505315e-12,9.751226e-13
