LINE,FID,Easting,Northing,Elevation,DEM,Latitude,Longitude,SFz[0],SFz[1],SFz[2],SFz[3],SFz[4],SFz[5],SFz[6],SFz[7],SFz[8],SFz[9],SFz[10],SFz[11],SFz[12],SFz[13],SFz[14],SFz[15],SFz[16],SFz[17],SFz[18],SFz[19]
1000,1000,500000,4900000,1450.61,33.96,44.2,-119.4,5.412720e-11,3.608138e-11,2.142190e-11,1.400959e-11,9.904712e-12,6.006530e-12,3.819195e-12,2.374831e-12,3.303422e-12,2.301257e-13,-1.828497e-13,-6.419855e-13,6.967111e-13,1.163982e-12,-9.858919e-14,-8.343457e-13,-8.222305e-13,6.513375e-13,7.434890e-13,5.432227e-13
1000,1001,500000,4900050,1448.67,35.23,44.2004,-119.4,5.066714e-11,3.509183e-11,2.278403e-11,1.421207e-11,1.018365e-11,5.412747e-12,2.109425e-12,8.730502e-13,1.509501e-13,1.107374e-12,4.638935e-13,8.523306e-13,-3.487686e-13,1.958942e-13,6.403205e-13,-3.032133e-13,4.588507e-13,-6.611896e-13,-3.628171e-13,-3.816670e-13
1000,1002,500000,4900100,1447.61,35.49,44.2008,-119.4,4.766258e-11,3.346461e-11,2.354396e-11,1.295293e-11,9.706965e-12,5.788756e-12,2.706508e-12,5.118546e-13,1.131842e-12,5.847909e-14,5.451687e-13,1.816435e-13,1.681745e-12,-2.046206e-13,-1.008563e-12,1.854622e-13,2.221573e-13,1.359947e-12,8.353401e-13,3.569403e-13
1000,1003,500000,4900150,1452.93,33.81,44.2012,-119.4,5.214218e-11,3.461273e-11,2.289056e-11,1.335271e-11,7.873811e-12,5.188019e-12,3.212420e-12,3.706456e-12,1.274966e-12,1.621422e-12,-1.503867e-13,-1.004039e-12,-8.844310e-13,-6.903262e-13,2.142699e-12,-8.153519e-13,8.406298e-13,-9.021903e-13,9.318049e-13,3.850205e-13
1000,1004,500000,4900200,1449.69,34.96,44.2016,-119.4,5.084086e-11,3.454495e-11,2.196021e-11,1.556059e-11,7.713322e-12,4.743939e-12,4.167349e-12,1.588221e-12,1.112305e-12,4.589499e-13,6.768800e-13,1.573770e-12,1.688250e-13,6.809083e-13,-2.034843e-12,-4.247971e-14,-8.410313e-13,-1.218096e-12,-8.779264e-13,-3.340503e-13
1000,1005,500000,4900250,1451.83,33.67,44.202,-119.4,5.260825e-11,3.623066e-11,2.241992e-11,1.483793e-11,7.390934e-12,5.787956e-12,2.343108e-12,1.430407e-12,2.506000e-13,5.337867e-13,-1.426569e-12,-1.306001e-12,2.209199e-12,-1.251193e-12,-1.080430e-12,1.843239e-12,2.907206e-12,-1.170827e-12,-3.680230e-13,3.416242e-13
1000,1006,500000,4900300,1453.46,34.01,44.2024,-119.4,5.293245e-11,3.644919e-11,2.274831e-11,1.366452e-11,1.049025e-11,5.722961e-12,3.863972e-12,2.345365e-13,2.067235e-12,1.066084e-12,-7.770385e-13,-3.003085e-13,3.437035e-13,8.878260e-14,-2.769567e-13,-9.750539e-14,-2.498319e-13,1.533154e-13,1.471727e-12,-2.566584e-12
1000,1007,500000,4900350,1449.53,35.18,44.2028,-119.4,5.029025e-11,3.299732e-11,2.234491e-11,1.354177e-11,1.039549e-11,5.144709e-12,4.614220e-12,2.700509e-12,2.937921e-12,1.327435e-12,-1.249243e-12,1.044902e-13,-1.091487e-12,-4.806707e-13,1.526886e-12,6.435725e-13,-6.966303e-13,-1.012964e-12,3.302353e-14,-1.216491e-12
1000,1008,500000,4900400,1448.66,35.31,44.2032,-119.4,5.047932e-11,3.445299e-11,2.079067e-11,1.506263e-11,1.014288e-11,4.595085e-12,3.389201e-12,3.326607e-12,3.548741e-13,-1.957038e-13,5.126929e-13,1.016599e-12,9.139774e-14,1.365604e-12,8.716524e-13,8.479238e-13,5.563717e-13,2.328402e-12,-2.049245e-13,-2.003452e-12
1000,1009,500000,4900450,1453.21,34.54,44.2036,-119.4,5.089734e-11,3.631133e-11,2.264690e-11,1.384133e-11,9.330471e-12,5.251672e-12,3.313440e-12,2.844895e-12,-8.570718e-13,-7.031730e-13,-1.177266e-12,-2.167663e-12,-5.999729e-13,7.857873e-13,-2.694026e-13,2.037882e-13,1.091457e-12,1.328436e-12,-6.889827e-14,1.353654e-12
1000,1010,500000,4900500,1450.18,34.16,44.204,-119.4,5.085195e-11,3.480776e-11,2.213792e-11,1.324657e-11,1.059489e-11,5.639512e-12,4.373050e-12,2.397538e-12,9.633983e-13,9.786578e-13,2.278016e-12,2.233838e-12,1.511313e-13,1.954445e-13,1.091176e-12,-8.398738e-13,3.352191e-13,-2.510778e-14,3.141429e-13,-8.332983e-13
1000,1011,500000,4900550,1446.82,32.93,44.2044,-119.4,5.176759e-11,3.568506e-11,2.285120e-11,1.661329e-11,8.986322e-12,6.289477e-12,4.578237e-12,2.361158e-12,8.475885e-13,1.084953e-12,2.869392e-14,1.101085e-12,-1.748795e-12,-3.007368e-13,-1.975557e-12,-1.488589e-12,1.366076e-12,8.959649e-13,-7.192429e-13,-1.502432e-12
